id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
7143.0,,Rue de castillon,,6440,Boussu-lez-walcourt,Hainaut,,,,,"Rue de castillon, 6440 Boussu-lez-walcourt, Hainaut",50.2349899,4.3689427
7144.0,,Rue de la carrière ,,6800,Libramont-chevigny,Luxembourg,,,,,"Rue de la carrière , 6800 Libramont-chevigny, Luxembourg",49.9759551,5.3754551
7145.0,,Rue tiba ,36.0,4420,Montegnée,Liège,,,,,"Rue tiba , 4420 Montegnée, Liège",50.6469821,5.5131339
7146.0,,Rue de rotheux ,1.0,4550,Nandrin,Liège,,,,,"Rue de rotheux , 4550 Nandrin, Liège",50.52456,5.45805
7147.0,,Rue domaine harzir,,5580,Jemelle,Namur,,,,,"Rue domaine harzir, 5580 Jemelle, Namur",50.1610597,5.2699301
7148.0,,Rue de l hotel des monnaies ,108.0,1060,Bruxelles,Bruxelles-brussel,,,,,"Rue de l hotel des monnaies , 1060 Bruxelles, Bruxelles-brussel",50.8306446,4.3480369
7150.0,,Avenue mozart),84.0,1190,Bruxelles,Bruxelles-brussel,,,,,"Avenue mozart), 1190 Bruxelles, Bruxelles-brussel",50.8119454,4.3353359
7151.0,,Rue de harze,,6980,La,Luxembourg,,,,,"Rue de harze, 6980 La, Luxembourg",50.1900106,5.5763175
7152.0,,Rue vandervelde ,40.0,6534,Gozée,Hainaut,,,,,"Rue vandervelde , 6534 Gozée, Hainaut",50.3535023,4.3357469
7153.0,,Rue saint-denis,296.0,1190,Bruxelles,Bruxelles-brussel,,,,,"Rue saint-denis, 1190 Bruxelles, Bruxelles-brussel",50.8182336,4.3207425
7154.0,,Rue edouard wacken ,31.0,4000,Liège,Liège,,,,,"Rue edouard wacken , 4000 Liège, Liège",50.6312608,5.5619563
7155.0,,Rue de joie,113.0,4000,Liège,Liège,,,,,"Rue de joie, 4000 Liège, Liège",50.6277284,5.5574136
7156.0,,Route de falize,,4960,Malmédy,Liège,,,,,"Route de falize, 4960 Malmédy, Liège",50.4179966,6.0139282
7158.0,,Chaussee de perwez,,5002,Saint-servais,Namur,,,,,"Chaussee de perwez, 5002 Saint-servais, Namur",50.4837846,4.8544734
7159.0,,Rue des grands sarts ,32.0,6230,Viesville,Hainaut,,,,,"Rue des grands sarts , 6230 Viesville, Hainaut",50.4798246,4.4035296
7160.0,,Rue nationale ,171.0,6041,Gosselies,Hainaut,,,,,"Rue nationale , 6041 Gosselies, Hainaut",50.4687201,4.431955900000001
7161.0,,Rue du peville ,176.0,4030,Grivegnéeliège),Liège,,,,,"Rue du peville , 4030 Grivegnéeliège), Liège",50.6273436,5.4870615
7162.0,,Rue grand route ,202.0,4690,Wonck,Liège,,,,,"Rue grand route , 4690 Wonck, Liège",50.7654737,5.6312006
7163.0,,Avenue du progres ,21.0,4432,Alleur,Liège,,,,,"Avenue du progres , 4432 Alleur, Liège",50.6721433,5.5295305
7164.0,,Route de purnode,,5501,Lisogne,Namur,,,,,"Route de purnode, 5501 Lisogne, Namur",50.2987851,4.9475265
7165.0,,Rue de la foulerie,2.0,5660,Couvin,Namur,,,,,"Rue de la foulerie, 5660 Couvin, Namur",50.0429467,4.4999046
7166.0,,Av.thomas leclercq,,4624,Romsée,Liège,,,,,"Av.thomas leclercq, 4624 Romsée, Liège",50.6108788,5.6712323
7167.0,,Rue bonne fontaine,,6980,La,Luxembourg,,,,,"Rue bonne fontaine, 6980 La, Luxembourg",50.1425856,5.5225923
7168.0,,Place des combattants ,11.0,5660,Gonrieux,Namur,,,,,"Place des combattants , 5660 Gonrieux, Namur",50.0358278,4.4261074
7169.0,,Rue evieux ,51.0,4130,Esneux,Liège,,,,,"Rue evieux , 4130 Esneux, Liège",50.5238067,5.5706651
7171.0,,Chaussee romaine ,2.0,4540,Amay,Liège,,,,,"Chaussee romaine , 4540 Amay, Liège",50.5655975,5.331783
7172.0,,Quai des salinnes,26.0,7500,Tournai,Hainaut,,,,,"Quai des salinnes, 7500 Tournai, Hainaut",50.6109976,3.3859081
7173.0,,Rue du seigneur,,6856,Fays-les-veneurs,Luxembourg,,,,,"Rue du seigneur, 6856 Fays-les-veneurs, Luxembourg",49.8653456,5.1622577
7174.0,,Boulevard industriel ,18.0,1070,Bruxelles,Bruxelles-brussel,,,,,"Boulevard industriel , 1070 Bruxelles, Bruxelles-brussel",50.8283698,4.3159159
7175.0,,Rue des francs ,79.0,1040,Bruxelles,Bruxelles-brussel,,,,,"Rue des francs , 1040 Bruxelles, Bruxelles-brussel",50.8380945,4.3973395
7176.0,,Rue des sapeurs pompiers ,1.0,7100,La,Hainaut,,,,,"Rue des sapeurs pompiers , 7100 La, Hainaut",50.4665675,4.1951708
7177.0,,Avenue cap. debatty ,60.0,6060,Gillycharleroi),Hainaut,,,,,"Avenue cap. debatty , 6060 Gillycharleroi), Hainaut",50.4254594,4.4772151
7178.0,,Rue de l institut,1.0,7730,Néchin,Hainaut,,,,,"Rue de l institut, 7730 Néchin, Hainaut",50.6662111,3.2662917
7179.0,,Rue gustave boel ,55.0,7100,La,Hainaut,,,,,"Rue gustave boel , 7100 La, Hainaut",50.4789615,4.174363
7180.0,,Rue les trous,2.0,4260,Braives,Liège,,,,,"Rue les trous, 4260 Braives, Liège",50.5843016,5.179622
7181.0,,Rue de l eglise,13.0,4987,Stoumont,Liège,,,,,"Rue de l eglise, 4987 Stoumont, Liège",50.4111262,5.8387734
7182.0,,Place sainte genevier,8.0,5600,Vodecée,Namur,,,,,"Place sainte genevier, 5600 Vodecée, Namur",50.1972211,4.5916264
7183.0,,Place emile zola ,1.0,4400,Flémalle,Liège,,,,,"Place emile zola , 4400 Flémalle, Liège",50.5685359,5.4534465
7184.0,,Rue montleban,,6674,Gouvy,Luxembourg,,,,,"Rue montleban, 6674 Gouvy, Luxembourg",50.1901072,5.8366814
7186.0,,Rue du château ,1.0,4340,Awans,Liège,,,,,"Rue du château , 4340 Awans, Liège",50.6684909,5.4786862
7187.0,,Rue de la scierie,1.0,5500,Dinant,Namur,,,,,"Rue de la scierie, 5500 Dinant, Namur",50.2643826,4.9565178
7188.0,,Rue grande ,112.0,5500,Dinant,Namur,,,,,"Rue grande , 5500 Dinant, Namur",50.2583837,4.9141085
7189.0,,Rue montgomery,71.0,7540,Kaintournai),Hainaut,,,,,"Rue montgomery, 7540 Kaintournai), Hainaut",50.6303325,3.3838131
7190.0,,Rue de wez,,6640,Vaux-sur-sûre,Luxembourg,,,,,"Rue de wez, 6640 Vaux-sur-sûre, Luxembourg",49.9017298,5.5655687
7191.0,,Rue de l eglise ,,6640,Sibret,Luxembourg,,,,,"Rue de l eglise , 6640 Sibret, Luxembourg",49.9702218,5.6354305
7192.0,,Rue royale ,223.0,1210,Bruxelles,Bruxelles-brussel,,,,,"Rue royale , 1210 Bruxelles, Bruxelles-brussel",50.8523228,4.3653346
7193.0,,Rue de l etoile polaire,20.0,1080,Bruxelles,Bruxelles-brussel,,,,,"Rue de l etoile polaire, 1080 Bruxelles, Bruxelles-brussel",50.8635021,4.2844564
7194.0,,Rue de meiboom ,114.0,1000,Bruxelles,Bruxelles-brussel,,,,,"Rue de meiboom , 1000 Bruxelles, Bruxelles-brussel",50.8515566,4.361039
7195.0,,Avenue lavoisier ,9.0,1300,Wavre,Brabant wallon,,,,,"Avenue lavoisier , 1300 Wavre, Brabant wallon",50.7349426,4.5920462
7196.0,,Avenue lavoisier ,3.0,1300,Wavre,Brabant wallon,,,,,"Avenue lavoisier , 1300 Wavre, Brabant wallon",50.7349426,4.5920462
7197.0,,Route de ghaster,50.0,4950,Waimes,Liège,,,,,"Route de ghaster, 4950 Waimes, Liège",50.4756475,6.1066715
7198.0,,Rue du follet ,30.0,7540,Kaintournai),Hainaut,,,,,"Rue du follet , 7540 Kaintournai), Hainaut",50.6290291,3.4115979
7199.0,,Rue des bruyeres ,150.0,4000,Liège,Liège,,,,,"Rue des bruyeres , 4000 Liège, Liège",50.6217488,5.5544775
7200.0,,Rue des bruyeres ,150.0,4000,Liège,Liège,,,,,"Rue des bruyeres , 4000 Liège, Liège",50.6217488,5.5544775
7201.0,,Rue du docteur albert hustin,67.0,6760,Ethe,Luxembourg,,,,,"Rue du docteur albert hustin, 6760 Ethe, Luxembourg",49.5796259,5.581888
7202.0,,Glabbeeksesteenweg ,,3390,Tielt,Vlaams-brabant,,,,,"Glabbeeksesteenweg , 3390 Tielt, Vlaams-brabant",50.9009095,4.8884878
7203.0,,Zonnedrieslaan ,24.0,3390,Tielt,Vlaams-brabant,,,,,"Zonnedrieslaan , 3390 Tielt, Vlaams-brabant",50.9380838,4.9042191
7204.0,,Ankerstraat,91.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Ankerstraat, 9100 Sint-niklaas, Oost-vlaanderen",51.1658884,4.1461228
7205.0,,Jonkershovestraat,103.0,8650,Houthulst,West-vlaanderen,,,,,"Jonkershovestraat, 8650 Houthulst, West-vlaanderen",50.9720065,2.9294883
7206.0,,Kloosterstaat,,2070,Zwijndrecht,Antwerpen,,,,,"Kloosterstaat, 2070 Zwijndrecht, Antwerpen",51.2031781,4.3459689
7207.0,,Heirbaan,118.0,2070,Zwijndrecht,Antwerpen,,,,,"Heirbaan, 2070 Zwijndrecht, Antwerpen",51.2002374,4.3347643
7208.0,,Fortlaan ,10.0,2070,Zwijndrecht,Antwerpen,,,,,"Fortlaan , 2070 Zwijndrecht, Antwerpen",51.2524585,4.2994463
7209.0,,Heirbaan z/n,,2070,Zwijndrecht,Antwerpen,,,,,"Heirbaan z/n, 2070 Zwijndrecht, Antwerpen",51.2002374,4.3347643
7210.0,,Richard orlenstraat z/n,,2070,Zwijndrecht,Antwerpen,,,,,"Richard orlenstraat z/n, 2070 Zwijndrecht, Antwerpen",51.2213794,4.3232152
7211.0,,Romeinse straat ,20.0,3001,Heverlee,Vlaams-brabant,,,,,"Romeinse straat , 3001 Heverlee, Vlaams-brabant",50.8455995,4.7371469
7212.0,,Milsestraat ,43.0,3053,Haasrode,Vlaams-brabant,,,,,"Milsestraat , 3053 Haasrode, Vlaams-brabant",50.8223132,4.7314995
7213.0,,Koninklijkebaan ,1.0,8670,Koksijde,West-vlaanderen,,,,,"Koninklijkebaan , 8670 Koksijde, West-vlaanderen",51.1170557,2.6306626
7214.0,,Machelendorp ,4.0,9870,Macheleno.-vl.),Oost-vlaanderen,,,,,"Machelendorp , 9870 Macheleno.-vl.), Oost-vlaanderen",50.959035,3.4873615
7215.0,,Zuiderlaan ,20.0,8790,Waregem,West-vlaanderen,,,,,"Zuiderlaan , 8790 Waregem, West-vlaanderen",50.8850974,3.4368334
7216.0,,Roodhuisstraat,10.0,2300,Turnhout,Antwerpen,,,,,"Roodhuisstraat, 2300 Turnhout, Antwerpen",51.3638371,4.9590155
7217.0,,Industrielaan ,13.0,9990,Maldegem,Oost-vlaanderen,,,,,"Industrielaan , 9990 Maldegem, Oost-vlaanderen",51.19981,3.4641493
7218.0,,Koralenhoeve ,10.0,2160,Wommelgem,Antwerpen,,,,,"Koralenhoeve , 2160 Wommelgem, Antwerpen",51.2105355,4.5227389
7219.0,,Eikestraat,,3020,Herent,Vlaams-brabant,,,,,"Eikestraat, 3020 Herent, Vlaams-brabant",50.9336259,4.6346471
7220.0,,Overstraat ,21.0,3020,Herent,Vlaams-brabant,,,,,"Overstraat , 3020 Herent, Vlaams-brabant",50.9035422,4.6211934
7221.0,,Schoolstraat ,15.0,3020,Herent,Vlaams-brabant,,,,,"Schoolstraat , 3020 Herent, Vlaams-brabant",50.9074072,4.6764447
7222.0,,Warotstraat,,3020,Herent,Vlaams-brabant,,,,,"Warotstraat, 3020 Herent, Vlaams-brabant",50.8988317,4.6388161
7223.0,,Mechelsesteenweg,634.0,3020,Herent,Vlaams-brabant,,,,,"Mechelsesteenweg, 3020 Herent, Vlaams-brabant",50.9139898,4.658062
7224.0,,Interleuvenlaan ,17.0,3001,Heverlee,Vlaams-brabant,,,,,"Interleuvenlaan , 3001 Heverlee, Vlaams-brabant",50.8507187,4.7303674
7225.0,,Kasteelpark ),,2260,Westerlo,Antwerpen,,,,,"Kasteelpark ), 2260 Westerlo, Antwerpen",51.0903426,4.9096815
7226.0,,Veurnestraat ,4.0,8640,Vleteren,West-vlaanderen,,,,,"Veurnestraat , 8640 Vleteren, West-vlaanderen",50.9436638,2.7323711
7227.0,,Warandestraat,5.0,8640,Vleteren,West-vlaanderen,,,,,"Warandestraat, 8640 Vleteren, West-vlaanderen",50.8989251,2.7820553
7228.0,,Jan emiel mommaertslaan,14.0,1831,Diegem,Vlaams-brabant,,,,,"Jan emiel mommaertslaan, 1831 Diegem, Vlaams-brabant",50.8888045,4.4461578
7229.0,,Jan emiel mommaertslaan ,14.0,1831,Diegem,Vlaams-brabant,,,,,"Jan emiel mommaertslaan , 1831 Diegem, Vlaams-brabant",50.8888045,4.4461578
7230.0,,Jan emiel mommaertslaan,14.0,1831,Diegem,Vlaams-brabant,,,,,"Jan emiel mommaertslaan, 1831 Diegem, Vlaams-brabant",50.8888045,4.4461578
7231.0,,Jan emiel mommaertslaan,14.0,1831,Diegem,Vlaams-brabant,,,,,"Jan emiel mommaertslaan, 1831 Diegem, Vlaams-brabant",50.8888045,4.4461578
7232.0,,Jan emiel mommaertslaan,14.0,1831,Diegem,Vlaams-brabant,,,,,"Jan emiel mommaertslaan, 1831 Diegem, Vlaams-brabant",50.8888045,4.4461578
7233.0,,Jan emiel mommaertslaan,14.0,1831,Diegem,Vlaams-brabant,,,,,"Jan emiel mommaertslaan, 1831 Diegem, Vlaams-brabant",50.8888045,4.4461578
7234.0,,Industriepark noord,4.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Industriepark noord, 9100 Sint-niklaas, Oost-vlaanderen",51.1470852,4.1675479
