id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province,lon_mclp,lat_mclp,province_mclp
15814.0,Appareil fixe-Vast apparaat,Dikkebusstraat,39.0,8950,Heuvelland,West-vlaanderen,aan de Kerk van De Klijte,Oui-Ja,Oui-Ja,,"Dikkebusstraat, 8950 Heuvelland, West-vlaanderen",50.7933777,2.7778932,51.29737,4.3131,Provincie Antwerpen,3.886222,51.080455,Provincie Oost-Vlaanderen
15815.0,Appareil fixe-Vast apparaat, du chapitre ,3.0,7080,Frameries,Hainaut,Bureau d acceuil,Oui-Ja,Non-Nee,selon l horaire d ouverture du centre sportif," du chapitre , 7080 Frameries, Hainaut",50.3971192,3.8845612,51.35954,4.84199,Provincie Antwerpen,3.354942,50.718035,Provincie West-Vlaanderen
15816.0,Appareil fixe-Vast apparaat,Chapitre,3.0,7080,Frameries,Hainaut,Dojo,Oui-Ja,Non-Nee,suivant l horaire d ouverture du centre sportif,"Chapitre, 7080 Frameries, Hainaut",50.3971192,3.8845612,50.451885,4.863519999999999,Provincie Namen,5.49217,50.98741,Provincie Limburg
15817.0,Appareil fixe-Vast apparaat,Des dames,79.0,7080,Frameries,Hainaut,Buvette RSB football,Oui-Ja,Non-Nee,selon l horaire d ouverture du club,"Des dames, 7080 Frameries, Hainaut",50.4132263,3.8927229,51.120489,2.963388,Provincie West-Vlaanderen,4.63077,51.13908,Provincie Antwerpen
7149.0,Appareil fixe-Vast apparaat,Des dames,79.0,7080,Frameries,Hainaut,Buvette du club house,Oui-Ja,Non-Nee,selon l ouverture du club,"Des dames, 7080 Frameries, Hainaut",50.4132263,3.8927229,50.45817,3.950496,Provincie Henegouwen,4.97345,51.23663,Provincie Antwerpen
13963.0,Appareil fixe-Vast apparaat,Des dames,79.0,7080,Frameries,Hainaut,hall de tennis,Oui-Ja,Non-Nee,selon l ouverture du club,"Des dames, 7080 Frameries, Hainaut",50.413006,4.4045696,50.76606833333334,4.502511666666667,Provincie Vlaams-Brabant,4.8404,51.08228,Provincie Antwerpen
13963.0,Appareil fixe-Vast apparaat,Des dames,79.0,7080,Frameries,Hainaut,hall de tennis,Oui-Ja,Non-Nee,selon l ouverture du club,"Des dames, 7080 Frameries, Hainaut",50.4132263,3.8927229,50.793248,4.203045,Provincie Vlaams-Brabant,5.27331,50.969,Provincie Limburg
15819.0,Appareil fixe-Vast apparaat,Place du marché ,1.0,6870,Saint hubert,Luxembourg,Hall d entrée ,Oui-Ja,Non-Nee,,"Place du marché , 6870 Saint hubert, Luxembourg",50.025494,5.3734277,51.18337,5.50624,Provincie Limburg,4.3242545,50.775952000000004,Provincie Vlaams-Brabant
15820.0,Appareil fixe-Vast apparaat,Place du marché,1.0,6870,Saint hubert ,Luxembourg,Halle d entrée ,Oui-Ja,Non-Nee,,"Place du marché, 6870 Saint hubert , Luxembourg",50.025494,5.3734277,51.125361,4.2303425,Provincie Oost-Vlaanderen,5.064805,50.728668,Provincie Vlaams-Brabant
15821.0,Appareil fixe-Vast apparaat,Palce du marché,1.0,6870,Saint hubert,Luxembourg,dANS LA CLASSE PRËT DE LA CUISINE,Oui-Ja,Oui-Ja,,"Palce du marché, 6870 Saint hubert, Luxembourg",50.025494,5.3734277,51.09422333333333,4.90869,Provincie Antwerpen,3.740023,51.038349000000004,Provincie Oost-Vlaanderen
