id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province
6374.0,,Rue a. lambert ,17.0,4254,Ligney,Liège,,,,,"Rue a. lambert , 4254 Ligney, Liège",50.662815,5.1848946,50.81164,4.2892,Brussels Hoofdstedelijk Gewest
6415.0,,Route de wallonie ,182.0,7011,Ghlin,Hainaut,,,,,"Route de wallonie , 7011 Ghlin, Hainaut",50.4801984,3.8981241,50.8556648304,4.36935466542,Brussels Hoofdstedelijk Gewest
6426.0,,Veldwijcklaan,180.0,2180,Ekerenantwerpen),Antwerpen,,,,,"Veldwijcklaan, 2180 Ekerenantwerpen), Antwerpen",51.2793271,4.4273199,50.8425,4.44333,Brussels Hoofdstedelijk Gewest
6462.0,,Dries ,,9320,Nieuwerkerkenaalst),Oost-vlaanderen,,,,,"Dries , 9320 Nieuwerkerkenaalst), Oost-vlaanderen",50.9133186,4.0209775,50.83289333333333,4.357833333333334,Brussels Hoofdstedelijk Gewest
6478.0,,Ursulinenstraat ,1.0,3540,Herk-de-stad,Limburg,,,,,"Ursulinenstraat , 3540 Herk-de-stad, Limburg",50.9438565,5.1615484,50.85756276171429,4.3757427625571435,Brussels Hoofdstedelijk Gewest
6484.0,,Rozendaalstraat ,12.0,8900,Ieper,West-vlaanderen,,,,,"Rozendaalstraat , 8900 Ieper, West-vlaanderen",50.8797849,2.8790025,50.878335826,4.4132704661,Brussels Hoofdstedelijk Gewest
6502.0,,Noordlaan ,10.0,9230,Massemen,Oost-vlaanderen,,,,,"Noordlaan , 9230 Massemen, Oost-vlaanderen",51.0008096,3.8664457,50.841666,4.339936,Brussels Hoofdstedelijk Gewest
6542.0,,Rte de warnant ,,4260,Braives,Liège,,,,,"Rte de warnant , 4260 Braives, Liège",50.5886466,5.1954946,50.8282347664,4.40156923464,Brussels Hoofdstedelijk Gewest
6625.0,,Beekje ,25.0,2880,Bornem,Antwerpen,,,,,"Beekje , 2880 Bornem, Antwerpen",51.1016066,4.2672889,50.870269228333335,4.361016693366667,Brussels Hoofdstedelijk Gewest
6674.0,,"Avenue e, mounier )",5.0,1200,Bruxelles,Bruxelles-brussel,,,,,"Avenue e, mounier ), 1200 Bruxelles, Bruxelles-brussel",50.8507765,4.4537123,50.83725328533333,4.285597105833333,Brussels Hoofdstedelijk Gewest
6686.0,,Lambertmontlaan ,322.0,1030,Brussel,Bruxelles-brussel,,,,,"Lambertmontlaan , 1030 Brussel, Bruxelles-brussel",50.8710288,4.3823167,50.84158508475,4.45632972015,Brussels Hoofdstedelijk Gewest
6741.0,,Elegemstraat,160.0,1700,Dilbeek,Vlaams-brabant,,,,,"Elegemstraat, 1700 Dilbeek, Vlaams-brabant",50.858702,4.265133,50.8510059904,4.32051906916,Brussels Hoofdstedelijk Gewest
6789.0,,Quai du rieu ,9.0,7322,Pommeroeul,Hainaut,,,,,"Quai du rieu , 7322 Pommeroeul, Hainaut",50.4595457,3.7134352,50.857860293,4.310278865083333,Brussels Hoofdstedelijk Gewest
6846.0,,Rue orgeo,,6880,Bertrix,Luxembourg,,,,,"Rue orgeo, 6880 Bertrix, Luxembourg",49.8456057,5.2755083,50.838060000000006,4.3328050000000005,Brussels Hoofdstedelijk Gewest
6881.0,,Av. de la cite wauters ,71.0,4040,Herstal,Liège,,,,,"Av. de la cite wauters , 4040 Herstal, Liège",50.6853324,5.640701,50.79385500000001,4.3594100000000005,Brussels Hoofdstedelijk Gewest
6894.0,,Boulevard dolez ),31.0,7000,Mons,Hainaut,,,,,"Boulevard dolez ), 7000 Mons, Hainaut",50.4511566,3.9578662,50.8741888135,4.301435734825,Brussels Hoofdstedelijk Gewest
6904.0,,Rue les croisiers,,4821,Andrimont,Liège,,,,,"Rue les croisiers, 4821 Andrimont, Liège",50.6105954,5.8882329,50.8401693426,4.385041820600001,Brussels Hoofdstedelijk Gewest
6927.0,,Oud termienstraat,8.0,3600,Genk,Limburg,,,,,"Oud termienstraat, 3600 Genk, Limburg",50.9423626,5.4683961,50.83130616349999,4.366342980000001,Brussels Hoofdstedelijk Gewest
6982.0,,Borgueuse he-pont,,4960,Malmédy,Liège,,,,,"Borgueuse he-pont, 4960 Malmédy, Liège",50.3741034,6.0231607,50.819520282,4.362551863949999,Brussels Hoofdstedelijk Gewest
7003.0,,Rue du fort ,1.0,4651,Battice,Liège,,,,,"Rue du fort , 4651 Battice, Liège",50.6451919,5.8374788,50.825308862,4.45670739414,Brussels Hoofdstedelijk Gewest
7037.0,,Rue henri le blond,,6700,Arlon,Luxembourg,,,,,"Rue henri le blond, 6700 Arlon, Luxembourg",49.6864011,5.822418,50.85992127683333,4.319700326533334,Brussels Hoofdstedelijk Gewest
7038.0,,Rue de la misbour,370.0,6637,Fauvillers,Luxembourg,,,,,"Rue de la misbour, 6637 Fauvillers, Luxembourg",49.8467257,5.6625997,50.85708666666667,4.38932,Brussels Hoofdstedelijk Gewest
7053.0,,Kortrijksesteenweg ,,9830,Sint-martens-latem,Oost-vlaanderen,,,,,"Kortrijksesteenweg , 9830 Sint-martens-latem, Oost-vlaanderen",51.0103887,3.6365982,50.836704999999995,4.43088,Brussels Hoofdstedelijk Gewest
7120.0,,Rue des monthys ,,5651,Thy-le-château,Namur,,,,,"Rue des monthys , 5651 Thy-le-château, Namur",50.2916076,4.4269982,50.844126601333336,4.4601003279,Brussels Hoofdstedelijk Gewest
7128.0,,Rue petit dieu,,7911,Oeudeghien,Hainaut,,,,,"Rue petit dieu, 7911 Oeudeghien, Hainaut",50.6750272,3.7151781,50.83064,4.2863725,Brussels Hoofdstedelijk Gewest
7131.0,,Chaussee de neerstalle,,1190,Bruxelles,Bruxelles-brussel,,,,,"Chaussee de neerstalle, 1190 Bruxelles, Bruxelles-brussel",50.80321,4.31592,50.81937830475,4.380330846175,Brussels Hoofdstedelijk Gewest
7132.0,,Rue kelle,31.0,1150,Bruxelles,Bruxelles-brussel,,,,,"Rue kelle, 1150 Bruxelles, Bruxelles-brussel",50.8333897,4.4384038,50.8527493614,4.43948731906,Brussels Hoofdstedelijk Gewest
7144.0,,Rue de la carrière ,,6800,Libramont-chevigny,Luxembourg,,,,,"Rue de la carrière , 6800 Libramont-chevigny, Luxembourg",49.9759551,5.3754551,50.890543048,4.3406551031,Brussels Hoofdstedelijk Gewest
7239.0,,Kattenbroek ,35.0,2650,Edegem,Antwerpen,,,,,"Kattenbroek , 2650 Edegem, Antwerpen",51.14917,4.42853,50.83802938466667,4.355278257866667,Brussels Hoofdstedelijk Gewest
7251.0,,Noordkaai ,9.0,8870,Izegem,West-vlaanderen,,,,,"Noordkaai , 8870 Izegem, West-vlaanderen",50.9277324,3.1934508,50.8625297365,4.410634059416667,Brussels Hoofdstedelijk Gewest
7259.0,,Melbergstraat 16,16.0,3600,Genk,Limburg,,,,,"Melbergstraat 16, 3600 Genk, Limburg",50.9535278,5.4854992,50.87643,4.330495000000001,Brussels Hoofdstedelijk Gewest
7264.0,,Keibergstraat,30.0,8480,Ichtegem,West-vlaanderen,,,,,"Keibergstraat, 8480 Ichtegem, West-vlaanderen",51.0890844,3.0271219,50.869600000000005,4.3331833333333325,Brussels Hoofdstedelijk Gewest
7269.0,,Nieuwstraat,91.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Nieuwstraat, 9100 Sint-niklaas, Oost-vlaanderen",51.1621452,4.1367737,50.853870284833334,4.303793796433332,Brussels Hoofdstedelijk Gewest
