id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province
16500.0,Appareil fixe-Vast apparaat,Graaf reusendreef,1.0,2930,Brasschaat,Antwerpen,aan de hoofdingang rechts tussen ijzeren poort en voordeur,Oui-Ja,Oui-Ja,,"Graaf reusendreef, 2930 Brasschaat, Antwerpen",51.2883425,4.4942671,50.45185,4.2371,Provincie Henegouwen
16501.0,Appareil fixe-Vast apparaat,Schoolstraat,1.0,3665,As,Limburg,Buiten aan het oud gemeentehuis,Oui-Ja,Oui-Ja,,"Schoolstraat, 3665 As, Limburg",51.0123306,5.6127752,51.25361,5.53686,Provincie Limburg
16502.0,Appareil fixe-Vast apparaat,Schuttenbergstraat ,2.0,3665,As,Limburg,Buiten aan ingang van de sporthal,Oui-Ja,Oui-Ja,,"Schuttenbergstraat , 3665 As, Limburg",51.0086783,5.5923494,51.09606,3.996285,Provincie Oost-Vlaanderen
16503.0,Appareil fixe-Vast apparaat,Vennekeslaan,11.0,3665,As,Limburg,Buiten op het terras aan de tennis,Oui-Ja,Oui-Ja,,"Vennekeslaan, 3665 As, Limburg",50.9999201,5.5595946,51.15164,4.47946,Provincie Antwerpen
16504.0,Appareil fixe-Vast apparaat,Melkerijstraat,0.0,3665,As,Limburg,Buiten aan het voetbalterrein,Oui-Ja,Non-Nee,Tijdens openingsuren voetbal,"Melkerijstraat, 3665 As, Limburg",51.0172819,5.6094844,51.22756,4.40225,Provincie Antwerpen
16505.0,Appareil fixe-Vast apparaat,Boulevard simon bolivas,34.0,1000,Bruxelles,Bruxelles-brussel,9è étage - Supply + Renewables ,Oui-Ja,Non-Nee,,"Boulevard simon bolivas, 1000 Bruxelles, Bruxelles-brussel",50.8611682,4.355548,50.43705,4.31256,Provincie Henegouwen
16506.0,Appareil fixe-Vast apparaat,Bevrijdingslaan,88.0,3665,As,Limburg,Binnen bij de buitenschoolse kinderopvang As (Peter Pan),Non-Nee,Non-Nee,Tijdens openingsuren buitenschoolse kinderopvang,"Bevrijdingslaan, 3665 As, Limburg",51.0020947,5.5822216,51.17615,4.41924,Provincie Antwerpen
16507.0,Appareil fixe-Vast apparaat,Pelikaanstraat ,,9700,Oudenaarde,Oost-vlaanderen,Voetbalterrein VV Volkegem - hoek kantine - onder overdekte staanplaats achter doel,Oui-Ja,Oui-Ja,,"Pelikaanstraat , 9700 Oudenaarde, Oost-vlaanderen",50.8716517,3.6366397,50.69766,5.65293,Provincie Luik
16508.0,Appareil fixe-Vast apparaat,Lammekensstraat,,9700,Oudenaarde,Oost-vlaanderen,Voetbalterrein VV Volkegem - onder overdekking bij de inkom van de kantine,Oui-Ja,Oui-Ja,,"Lammekensstraat, 9700 Oudenaarde, Oost-vlaanderen",50.8258924,3.6054007,51.18364,4.373725,Provincie Antwerpen
16509.0,Appareil fixe-Vast apparaat,Boulevard simon bolivas ,34.0,1000,Bruxelles,Bruxelles-brussel,12è étage - HUB Europe + engie Digital,Oui-Ja,Non-Nee,,"Boulevard simon bolivas , 1000 Bruxelles, Bruxelles-brussel",50.8611682,4.355548,51.035624,5.08377,Provincie Vlaams-Brabant
16510.0,Appareil fixe-Vast apparaat,Boulevard simon bolivas,34.0,1000,Bruxelles,Bruxelles-brussel,10è étage - GBS IT - HR - Achats,Oui-Ja,Non-Nee,,"Boulevard simon bolivas, 1000 Bruxelles, Bruxelles-brussel",50.8611682,4.355548,50.54705,4.97854,Provincie Namen
16511.0,Appareil fixe-Vast apparaat,Boulevard simon bolivas,34.0,1000,Bruxelles,Bruxelles-brussel,Zone catering,Oui-Ja,Non-Nee,,"Boulevard simon bolivas, 1000 Bruxelles, Bruxelles-brussel",50.8611682,4.355548,50.40035,4.33256,Provincie Henegouwen
16512.0,Appareil fixe-Vast apparaat,Boulevard simon bolivas,34.0,1000,Bruxelles,Bruxelles-brussel,Fitness,Oui-Ja,Non-Nee,,"Boulevard simon bolivas, 1000 Bruxelles, Bruxelles-brussel",50.8611682,4.355548,51.13278,5.5927,Provincie Limburg
16513.0,Appareil fixe-Vast apparaat,Boulevard simon bolivas,34.0,1000,Bruxelles,Bruxelles-brussel,2è étage - GEMS,Oui-Ja,Non-Nee,,"Boulevard simon bolivas, 1000 Bruxelles, Bruxelles-brussel",50.8611682,4.355548,51.09568,3.606897,Provincie Oost-Vlaanderen
16514.0,Appareil fixe-Vast apparaat,Avenue du vert chasseur,46.0,1180,Uccle,Bruxelles-brussel, ,Oui-Ja,Non-Nee,,"Avenue du vert chasseur, 1180 Uccle, Bruxelles-brussel",50.8009228,4.369337,50.849422999,4.400231635866667,Brussels Hoofdstedelijk Gewest
16515.0,Appareil fixe-Vast apparaat,Rue pierre victor jacobs,17.0,1080,Molenbeek saint jean,Bruxelles-brussel, ,Oui-Ja,Non-Nee,,"Rue pierre victor jacobs, 1080 Molenbeek saint jean, Bruxelles-brussel",50.863366,4.3397516,50.68786,4.39808,Provincie Waals-Brabant
16516.0,Appareil fixe-Vast apparaat,Quai du hainaut,69.0,1080,Molenbeek saint jean,Bruxelles-brussel, ,Oui-Ja,Non-Nee,,"Quai du hainaut, 1080 Molenbeek saint jean, Bruxelles-brussel",50.8509656,4.3382858,51.04706,5.22804,Provincie Limburg
16517.0,Appareil fixe-Vast apparaat,Rue de jerusalem,56.0,1030,Bruxelles,Bruxelles-brussel, ,Oui-Ja,Non-Nee,,"Rue de jerusalem, 1030 Bruxelles, Bruxelles-brussel",50.8651497,4.3782786,51.18441,4.60688,Provincie Antwerpen
16518.0,Appareil fixe-Vast apparaat,Rue de jerusalem,56.0,1030,Bruxelles,Bruxelles-brussel, ,Oui-Ja,Non-Nee,,"Rue de jerusalem, 1030 Bruxelles, Bruxelles-brussel",50.8651497,4.3782786,50.63368,3.77699,Provincie Henegouwen
16519.0,Appareil fixe-Vast apparaat,Herentstraat,139.0,3910,Pelt,Limburg,Inkomhal kleedkamers voetbalterrein kant,Oui-Ja,Non-Nee,Toegankelijk tijdens trainingen en wedstijden ,"Herentstraat, 3910 Pelt, Limburg",51.2004793,5.4574172,51.165557,3.8463245,Provincie Oost-Vlaanderen
16520.0,Appareil fixe-Vast apparaat,Sportpark montaignehof ,1.0,3620,Lanaken,Limburg,voetbal Lanaken VV,Non-Nee,,,"Sportpark montaignehof , 3620 Lanaken, Limburg",50.884483,5.636182,50.935291,3.464398,Provincie Oost-Vlaanderen
16521.0,Appareil fixe-Vast apparaat,Hoogvorst ,2.0,9506,Grimminge,Oost-vlaanderen,in de inkomhal,Non-Nee,Non-Nee,Openingsuren   De HELIX ,"Hoogvorst , 9506 Grimminge, Oost-vlaanderen",50.787928,3.9382338,50.997,5.36897,Provincie Limburg
16522.0,Appareil fixe-Vast apparaat,Hoeksken,56.0,2275,Lille,Antwerpen, Gelijkvloers - Inkomhal personeelsingang,Oui-Ja,Non-Nee,ma - vrijdag van 08:00u tot 17:00u  (exclusief feestdagen),"Hoeksken, 2275 Lille, Antwerpen",51.2418316,4.8261582,50.7812755,3.036759,Provincie West-Vlaanderen
16523.0,Appareil fixe-Vast apparaat,Achterstenhoek,3.0,2275,Lille,Antwerpen,Gelijkvloers - traphal,Oui-Ja,Non-Nee,maandag - vrijdag van 08:00u tot 17:00u (exclusief feestdagen),"Achterstenhoek, 2275 Lille, Antwerpen",51.2513595,4.8107226,50.846399,2.870278,Provincie West-Vlaanderen
